region,feature,seed,delivered,sent,alice_flood,alice_direct,radio_tx,radio_rx,collisions,ackpath_tx,total_flood_tx,total_direct_tx,probes_fired,wall_s,rc
gdansk,passive,42,19,50,13,12,4561,8978,2006,507,14166,2147,0,43.27346920967102,0
gdansk,probes_on,42,14,50,12,13,4248,8510,1690,584,13813,2184,8,43.67459201812744,0
gdansk,passive_c120,42,19,50,23,2,5077,9817,2456,825,14684,2143,0,43.793251514434814,0
gdansk,passive,202,12,50,7,18,4382,8666,1883,724,14115,2180,0,44.08246040344238,0
gdansk,baseline,42,19,50,23,2,5077,9817,2456,825,14684,2143,0,44.097156286239624,0
gdansk,passive_c120,101,20,50,23,2,4914,9598,2262,867,14557,2140,0,44.10226082801819,0
gdansk,probes_on,202,12,50,8,17,4179,8274,1810,533,13873,2212,8,44.10607862472534,0
gdansk,passive_c120,202,21,50,18,7,5075,9846,2418,943,14804,2173,0,44.29715156555176,0
gdansk,baseline,101,19,50,21,4,4917,9585,2275,968,14555,2146,0,44.33389401435852,0
gdansk,baseline,202,21,50,16,9,5014,9799,2327,1037,14730,2187,0,44.35736131668091,0
gdansk,probes_on,101,16,50,9,16,4348,8548,1913,684,13899,2229,8,44.38996648788452,0
gdansk,passive,101,14,50,13,12,4499,8844,2023,621,14146,2143,0,44.445077657699585,0
gdansk,probes_c120,42,14,50,23,2,4747,9439,2001,576,14346,2149,8,43.80869221687317,0
gdansk,probes_c120,101,20,50,17,8,4912,9638,2258,877,14496,2190,8,44.40276026725769,0
gdansk,probes_c120,202,16,50,16,9,4788,9464,2149,936,14467,2221,8,44.45796585083008,0
seapdx,passive,42,17,50,10,15,26094,62612,19541,1260,524676,28373,0,617.9576196670532,0
seapdx,baseline,101,25,50,15,10,31592,74270,25524,2413,529991,28350,0,618.4044320583344,0
seapdx,passive_c120,42,25,50,24,1,33250,77620,27730,3103,531810,28384,0,618.8633406162262,0
seapdx,passive,202,16,50,11,14,29324,68975,23847,2361,530847,28378,0,621.9601373672485,0
seapdx,baseline,202,24,50,23,2,35632,82366,30599,3151,537136,28387,0,624.8281066417694,0
seapdx,passive_c120,101,26,50,16,9,31552,74134,25551,1796,529951,28350,0,626.2995748519897,0
seapdx,passive,101,18,50,9,16,28412,67287,22380,3108,526813,28355,0,628.7438621520996,0
seapdx,baseline,42,25,50,24,1,33250,77620,27730,3103,531810,28384,0,632.3608605861664,0
seapdx,passive_c120,202,24,50,23,2,35632,82366,30599,3151,537136,28387,0,634.1693544387817,0
seapdx,probes_on,42,14,50,10,15,27363,65745,20679,2474,525879,28433,8,643.5159556865692,0
seapdx,probes_on,101,16,50,11,14,27156,64613,21181,1220,525539,28370,8,644.0090656280518,0
seapdx,probes_on,202,18,50,8,17,28495,68115,22059,3076,529921,28464,8,645.967527627945,0
manh,baseline,101,18,50,18,7,9387,18570,3827,952,46581,4864,0,132.8266453742981,0
manh,passive,42,12,50,2,23,7747,15494,2856,1004,44881,4959,0,132.63070392608643,0
manh,baseline,42,20,50,13,12,8931,17644,3616,1375,46065,4950,0,141.55520057678223,0
manh,baseline,202,18,50,16,9,8791,17347,3517,1397,46127,4939,0,137.71988463401794,0
manh,passive,101,13,50,8,17,7965,15754,3068,928,45155,4872,0,132.40645384788513,0
manh,passive,202,11,50,3,22,7739,15485,2801,1046,45099,4921,0,136.13395738601685,0
manh,passive_c120,101,18,50,18,7,9387,18570,3827,952,46581,4864,0,111.19151377677917,0
manh,passive_c120,42,20,50,13,12,8931,17644,3616,1375,46065,4950,0,120.17485690116882,0
manh,passive_c120,202,19,50,18,7,9147,18019,3715,1455,46515,4905,0,117.43569755554199,0
manh,probes_on,42,17,50,20,5,9118,17987,3754,1507,46279,4917,8,110.4048445224762,0
manh,probes_on,202,19,50,25,0,9113,17918,3770,965,46518,4863,8,107.63864994049072,0
manh,probes_c120,42,17,50,20,5,9118,17987,3754,1507,46279,4917,8,108.0470359325409,0
manh,probes_c120,101,20,50,24,1,9608,19006,3950,732,46787,4871,8,109.01611757278442,0
manh,probes_on,101,20,50,24,1,9608,19006,3950,732,46787,4871,8,113.0040340423584,0
manh,probes_c120,202,19,50,25,0,9113,17918,3770,965,46518,4863,8,110.74945497512817,0
seapdx,probes_c120,101,23,50,23,2,32747,76649,26869,2506,531142,28348,8,626.222354888916,0
seapdx,probes_c120,202,23,50,23,2,35002,81583,29547,4315,536470,28418,8,644.0480637550354,0
seapdx,probes_c120,42,25,50,17,8,32740,77074,26611,4310,531286,28389,8,645.5718574523926,0
