region,feature,seed,delivered,sent,radio_tx,radio_rx,collisions,ackpath_tx,events_drift,events_shadow,events_fade,n_mutable_links,wall_s,rc
urban,baseline,202,27,37,362,817,46,144,24,20,2,12,1.2778656482696533,0
urban,baseline,606,33,37,391,889,49,172,24,20,2,12,1.295090675354004,0
urban,baseline,1111,27,37,457,972,132,233,24,20,2,12,1.296816110610962,0
urban,baseline,303,36,37,384,882,24,151,24,20,2,12,1.299936056137085,0
urban,baseline,42,36,37,414,977,16,189,24,20,2,12,1.303518533706665,0
urban,baseline,909,37,37,446,1026,52,218,24,20,2,12,1.3053321838378906,0
urban,baseline,707,27,37,346,811,13,144,24,20,2,12,1.3071370124816895,0
urban,baseline,101,35,37,408,942,36,179,24,20,2,12,1.3104174137115479,0
urban,baseline,404,29,37,366,862,11,154,24,20,2,12,1.3105406761169434,0
urban,baseline,1313,36,37,418,962,42,186,24,20,2,12,1.3165490627288818,0
urban,baseline,1010,29,37,366,856,18,154,24,20,2,12,1.3333911895751953,0
urban,baseline,808,29,37,356,818,28,144,24,20,2,12,1.3337934017181396,0
urban,baseline,505,34,37,391,913,23,173,24,20,2,12,1.3522977828979492,0
urban,baseline,1212,37,37,421,984,26,192,24,20,2,12,1.3677539825439453,0
urban,baseline,1515,27,37,359,822,16,144,27,11,8,12,1.307389736175537,0
urban,baseline,1414,21,37,307,668,43,112,27,11,8,12,1.3302700519561768,0
urban,baseline,1616,27,37,357,812,16,143,27,11,8,12,1.317356824874878,0
urban,passive_c120,202,24,37,419,887,93,193,27,11,8,12,1.3151819705963135,0
urban,passive_c120,42,21,37,341,779,26,111,27,11,8,12,1.3183856010437012,0
urban,baseline,1919,28,37,362,831,12,147,27,11,8,12,1.3258588314056396,0
urban,passive_c120,303,26,37,424,903,88,182,27,11,8,12,1.3184261322021484,0
urban,passive_c120,101,30,37,528,1059,166,257,27,11,8,12,1.329899787902832,0
urban,baseline,1818,23,37,364,844,21,126,27,11,8,12,1.3428902626037598,0
urban,baseline,1717,26,37,345,782,16,137,27,11,8,12,1.353771448135376,0
urban,passive_c120,404,25,37,402,867,74,161,27,11,8,12,1.3267369270324707,0
urban,passive_c120,606,26,37,492,955,182,221,27,11,8,12,1.3266644477844238,0
urban,passive_c120,707,22,37,353,788,44,125,27,11,8,12,1.3430728912353516,0
urban,passive_c120,505,21,37,472,931,164,202,27,11,8,12,1.3819894790649414,0
urban,passive_c120,909,33,37,479,1052,83,215,22,19,5,12,1.3333539962768555,0
urban,passive_c120,1010,33,37,480,1064,69,204,22,19,5,12,1.3442316055297852,0
urban,passive_c120,1212,34,37,600,1209,191,296,22,19,5,12,1.3346796035766602,0
urban,passive_c120,808,34,37,588,1215,158,303,22,19,5,12,1.3654539585113525,0
urban,passive_c120,1414,29,37,553,1127,170,276,22,19,5,12,1.3379530906677246,0
urban,passive_c120,1515,32,37,580,1204,154,292,22,19,5,12,1.3367621898651123,0
urban,passive_c120,1616,28,37,550,1118,166,264,22,19,5,12,1.3319218158721924,0
urban,passive_c120,1111,31,37,576,1173,179,282,22,19,5,12,1.3562648296356201,0
urban,passive_c120,1818,36,37,508,1134,64,236,22,19,5,12,1.3415491580963135,0
urban,passive_c120,1313,33,37,592,1210,182,301,22,19,5,12,1.3731625080108643,0
urban,passive_c120,1919,35,37,472,1062,54,201,22,19,5,12,1.3467824459075928,0
urban,passive_c120,1717,37,37,520,1169,59,245,22,19,5,12,1.3919007778167725,0
urban,passive_c120_probes,42,31,37,566,1159,164,287,22,19,5,12,1.3570561408996582,0
urban,passive_c120_probes,101,30,37,524,1120,111,237,22,19,5,12,1.3671998977661133,0
urban,passive_c120_probes,202,23,37,370,832,51,153,26,13,7,12,1.325646162033081,0
urban,passive_c120_probes,404,28,37,528,1097,137,255,26,13,7,12,1.3401916027069092,0
urban,passive_c120_probes,303,31,37,545,1100,172,269,26,13,7,12,1.3568437099456787,0
urban,passive_c120_probes,909,30,37,544,1118,157,273,26,13,7,12,1.3365607261657715,0
urban,passive_c120_probes,606,27,37,516,1034,170,247,26,13,7,12,1.3528385162353516,0
urban,passive_c120_probes,808,31,37,534,1111,138,254,26,13,7,12,1.349815845489502,0
urban,passive_c120_probes,505,30,37,520,1079,139,248,26,13,7,12,1.3609850406646729,0
urban,passive_c120_probes,707,28,37,515,1071,141,248,26,13,7,12,1.360539436340332,0
urban,passive_c120_probes,1010,31,37,558,1166,142,268,26,13,7,12,1.347374439239502,0
urban,passive_c120_probes,1111,29,37,537,1111,148,257,26,13,7,12,1.357867956161499,0
urban,passive_c120_probes,1212,30,37,542,1126,143,259,26,13,7,12,1.3503763675689697,0
urban,passive_c120_probes,1313,28,37,528,1063,181,237,26,13,7,12,1.355069637298584,0
urban,passive_c120_probes,1515,31,37,558,1195,115,282,26,13,7,12,1.3330917358398438,0
urban,passive_c120_probes,1414,26,37,514,1037,164,229,26,13,7,12,1.365832805633545,0
urban,passive_c120_probes,1616,33,37,576,1235,137,293,30,12,4,12,1.353409767150879,0
urban,passive_c40,202,25,37,419,894,101,185,30,12,4,12,1.3051512241363525,0
urban,passive_c120_probes,1717,32,37,426,961,52,167,30,12,4,12,1.3487026691436768,0
urban,passive_c40,101,26,37,478,985,148,231,30,12,4,12,1.3252928256988525,0
urban,passive_c120_probes,1818,34,37,437,1018,34,166,30,12,4,12,1.340247631072998,0
urban,passive_c40,404,26,37,425,924,86,193,30,12,4,12,1.312875747680664,0
urban,passive_c40,42,25,37,415,902,84,185,30,12,4,12,1.345123529434204,0
urban,passive_c40,303,27,37,471,978,134,217,30,12,4,12,1.3387937545776367,0
urban,passive_c120_probes,1919,34,37,463,1068,43,190,30,12,4,12,1.3594658374786377,0
urban,passive_c40,505,27,37,398,902,50,168,30,12,4,12,1.3284146785736084,0
urban,passive_c40,606,25,37,486,1007,146,235,30,12,4,12,1.3401939868927002,0
urban,passive_c40,909,25,37,473,969,150,236,30,12,4,12,1.3225276470184326,0
urban,passive_c40,808,24,37,412,901,73,179,30,12,4,12,1.3473961353302002,0
urban,passive_c40,707,29,37,391,890,48,150,30,12,4,12,1.3676650524139404,0
urban,passive_c40,1010,26,37,445,985,89,185,26,16,4,12,1.3311986923217773,0
urban,passive_c40,1111,26,37,475,994,135,231,26,16,4,12,1.324831485748291,0
urban,passive_c40,1313,27,37,494,1024,151,244,26,16,4,12,1.3284194469451904,0
urban,passive_c40,1515,24,37,396,882,74,169,26,16,4,12,1.329305648803711,0
urban,passive_c40,1616,26,37,484,1012,142,242,26,16,4,12,1.3214144706726074,0
urban,passive_c40,1414,28,37,505,1062,140,264,26,16,4,12,1.3540353775024414,0
urban,passive_c40,1212,26,37,502,1021,174,242,26,16,4,12,1.3678874969482422,0
urban,passive_c40,1818,28,37,512,1067,154,261,26,16,4,12,1.3521440029144287,0
urban,passive_c40,1919,27,37,490,1034,134,243,26,16,4,12,1.3429884910583496,0
urban,passive_c40,1717,25,37,467,944,165,224,26,16,4,12,1.3629519939422607,0
urban,passive_c40_probes,42,26,37,493,1017,149,251,26,16,4,12,1.3394739627838135,0
urban,passive_c40_probes,101,28,37,510,1063,149,246,26,16,4,12,1.3350462913513184,0
urban,passive_c40_probes,202,27,37,501,1030,161,251,26,16,4,12,1.350797414779663,0
urban,passive_c40_probes,303,28,37,483,957,191,237,26,16,4,12,1.3555972576141357,0
urban,passive_c40_probes,404,29,37,481,1023,101,235,30,12,4,12,1.335141658782959,0
urban,passive_c40_probes,606,25,37,474,989,117,224,30,12,4,12,1.3346195220947266,0
urban,passive_c40_probes,505,26,37,486,971,166,244,30,12,4,12,1.3656847476959229,0
urban,passive_c40_probes,909,28,37,504,1017,156,251,30,12,4,12,1.3232297897338867,0
urban,passive_c40_probes,707,25,37,486,1005,129,233,30,12,4,12,1.348069429397583,0
urban,passive_c40_probes,808,28,37,512,1054,132,251,30,12,4,12,1.3471009731292725,0
urban,passive_c40_probes,1010,29,37,543,1124,146,279,30,12,4,12,1.3491394519805908,0
urban,passive_c40_probes,1313,27,37,499,1027,137,245,30,12,4,12,1.3596060276031494,0
urban,passive_c40_probes,1212,28,37,513,1090,109,255,30,12,4,12,1.3646154403686523,0
urban,passive_c40_probes,1111,27,37,513,1058,137,242,30,12,4,12,1.3717265129089355,0
urban,passive_c40_probes,1414,27,37,502,1050,115,254,30,12,4,12,1.3635201454162598,0
urban,passive_c40_probes,1515,28,37,511,1066,119,261,30,12,4,12,1.3595657348632812,0
urban,passive_c40_probes,1717,29,37,509,1043,137,260,30,12,4,12,1.347754716873169,0
urban,passive_c40_probes,1616,27,37,408,910,55,181,30,12,4,12,1.3669462203979492,0
urban,passive_c40_probes,1818,23,37,474,976,155,215,26,15,5,12,1.3425214290618896,0
urban,passive_c120_ttl_short,202,29,37,556,1124,203,266,26,15,5,12,1.3004364967346191,0
urban,passive_c40_probes,1919,30,37,451,1011,71,193,26,15,5,12,1.3289895057678223,0
urban,passive_c120_ttl_short,42,31,37,528,1140,129,254,26,15,5,12,1.3324930667877197,0
urban,passive_c120_ttl_short,101,31,37,460,1027,77,184,26,15,5,12,1.3329493999481201,0
urban,passive_c120_ttl_short,303,30,37,574,1153,220,268,26,15,5,12,1.349229097366333,0
urban,passive_c120_ttl_short,404,32,37,593,1252,168,309,26,15,5,12,1.329355239868164,0
urban,passive_c120_ttl_short,707,31,37,537,1130,153,271,26,15,5,12,1.3258097171783447,0
urban,passive_c120_ttl_short,505,28,37,522,1059,184,238,26,15,5,12,1.336707592010498,0
urban,passive_c120_ttl_short,606,29,37,546,1086,221,269,26,15,5,12,1.3604581356048584,0
urban,passive_c120_ttl_short,808,33,37,599,1264,168,314,26,15,5,12,1.3595802783966064,0
urban,passive_c120_ttl_short,909,30,37,441,998,66,178,26,15,5,12,1.3305342197418213,0
urban,passive_c120_ttl_short,1010,31,37,523,1115,137,240,26,15,5,12,1.3282673358917236,0
urban,passive_c120_ttl_short,1111,32,37,603,1240,200,304,26,15,5,12,1.3359692096710205,0
urban,passive_c120_ttl_short,1212,32,37,584,1217,181,281,28,16,2,12,1.3465774059295654,0
urban,passive_c120_ttl_short,1313,36,37,628,1302,201,332,28,16,2,12,1.3538427352905273,0
urban,passive_c120_ttl_short,1616,34,37,475,1082,64,218,28,16,2,12,1.3280723094940186,0
urban,passive_c120_ttl_short,1414,33,37,595,1205,219,306,28,16,2,12,1.363663911819458,0
urban,passive_c120_ttl_short,1515,30,37,583,1215,179,281,28,16,2,12,1.3604381084442139,0
urban,passive_c120_ttl_short,1818,37,37,491,1126,58,221,28,16,2,12,1.3571665287017822,0
urban,passive_c120_ttl_short,1919,37,37,629,1316,188,336,28,16,2,12,1.3424205780029297,0
urban,passive_c120_ttl_short,1717,35,37,485,1108,63,222,28,16,2,12,1.3824653625488281,0
urban,passive_c120_ttl_long,42,32,37,591,1207,206,300,28,16,2,12,1.3476619720458984,0
urban,passive_c120_ttl_long,202,36,37,509,1193,49,246,28,16,2,12,1.3095946311950684,0
urban,passive_c120_ttl_long,101,36,37,610,1270,186,325,28,16,2,12,1.336653470993042,0
urban,passive_c120_ttl_long,404,34,37,610,1286,169,324,28,16,2,12,1.3191337585449219,0
urban,passive_c120_ttl_long,303,33,37,589,1224,183,292,28,16,2,12,1.3470540046691895,0
urban,passive_c120_ttl_long,505,33,37,468,1058,69,211,28,16,2,12,1.3682055473327637,0
urban,passive_c120_ttl_long,606,27,37,436,892,120,191,29,10,7,12,1.328916072845459,0
urban,passive_c120_ttl_long,707,31,37,569,1147,174,290,29,10,7,12,1.3371531963348389,0
urban,passive_c120_ttl_long,909,35,37,603,1175,221,302,29,10,7,12,1.3320629596710205,0
urban,passive_c120_ttl_long,808,32,37,584,1195,165,283,29,10,7,12,1.3588476181030273,0
urban,passive_c120_ttl_long,1010,33,37,571,1197,130,286,29,10,7,12,1.3604178428649902,0
urban,passive_c120_ttl_long,1313,32,37,523,1101,112,244,29,10,7,12,1.322296380996704,0
urban,passive_c120_ttl_long,1111,32,37,585,1194,164,298,29,10,7,12,1.345026969909668,0
urban,passive_c120_ttl_long,1414,28,37,533,1055,182,262,29,10,7,12,1.3352360725402832,0
urban,passive_c120_ttl_long,1515,28,37,532,1085,147,249,29,10,7,12,1.3375608921051025,0
urban,passive_c120_ttl_long,1616,30,37,563,1145,161,282,29,10,7,12,1.3367083072662354,0
urban,passive_c120_ttl_long,1212,26,37,452,944,102,200,29,10,7,12,1.3659520149230957,0
urban,passive_c120_ttl_long,1818,32,37,580,1175,168,283,29,10,7,12,1.3358619213104248,0
urban,passive_c120_ttl_long,1717,32,37,561,1162,132,265,29,10,7,12,1.3457660675048828,0
urban,passive_c120_ttl_long,1919,33,37,585,1184,170,299,29,10,7,12,1.3495697975158691,0
gdansk,baseline,909,22,50,4502,8867,1956,624,43,18,10,24,43.67094326019287,0
gdansk,baseline,42,16,50,4841,9498,2211,596,44,20,7,24,45.34197211265564,0
gdansk,baseline,1111,13,50,4457,8830,1976,763,33,30,8,24,45.29895830154419,0
gdansk,baseline,505,20,50,4767,9321,2207,1067,33,30,8,24,45.41433000564575,0
gdansk,baseline,606,16,50,4359,8611,1848,921,33,30,8,24,45.50693082809448,0
gdansk,baseline,404,17,50,4823,9526,2162,788,44,20,7,24,45.53863024711609,0
gdansk,baseline,1010,17,50,4949,9794,2181,1086,33,30,8,24,45.50896501541138,0
gdansk,baseline,1313,22,50,4825,9450,2152,635,33,30,8,24,45.55817937850952,0
gdansk,baseline,808,20,50,4695,9327,2005,1100,33,30,8,24,45.81141781806946,0
gdansk,baseline,1212,21,50,4576,9023,2019,803,33,30,8,24,45.866474628448486,0
gdansk,baseline,707,19,50,4666,9169,2099,941,33,30,8,24,45.97141981124878,0
gdansk,baseline,303,17,50,4370,8698,1840,517,33,30,8,24,46.123085021972656,0
gdansk,baseline,101,18,50,4725,9284,2108,836,33,30,8,24,46.15904378890991,0
gdansk,baseline,202,18,50,5022,9820,2308,845,33,30,8,24,46.29406499862671,0
gdansk,baseline,1515,18,50,4487,8768,2024,647,39,29,3,24,43.68474817276001,0
gdansk,baseline,1414,19,50,5102,10028,2392,1267,39,29,3,24,45.387653827667236,0
gdansk,passive_c120,42,19,50,4922,9664,2223,1032,42,23,6,24,44.979724645614624,0
gdansk,baseline,1616,22,50,4806,9464,2177,769,42,23,6,24,45.235172510147095,0
gdansk,baseline,1818,19,50,4644,9109,2100,888,42,23,6,24,45.6553168296814,0
gdansk,baseline,1717,17,50,4396,8703,1855,576,42,23,6,24,45.89271068572998,0
gdansk,baseline,1919,15,50,4465,8780,1932,918,42,23,6,24,45.823546171188354,0
gdansk,passive_c120,202,22,50,5051,9863,2303,888,42,23,6,24,45.61321997642517,0
gdansk,passive_c120,101,17,50,4979,9717,2309,664,42,23,6,24,46.0400664806366,0
gdansk,passive_c120,303,19,50,4616,9083,2069,867,39,20,12,24,45.840243101119995,0
gdansk,passive_c120,404,21,50,5162,10033,2481,810,42,23,6,24,45.79455614089966,0
gdansk,passive_c120,707,19,50,4618,9153,2014,689,39,20,12,24,46.348275899887085,0
gdansk,passive_c120,505,18,50,4902,9510,2288,935,39,20,12,24,46.523022174835205,0
gdansk,passive_c120,606,19,50,4880,9713,2087,1069,39,20,12,24,46.79857277870178,0
gdansk,passive_c120,909,16,50,4489,8760,2054,847,35,24,12,24,43.72666096687317,0
gdansk,passive_c120,808,19,50,5032,9936,2249,999,51,16,4,24,45.42498421669006,0
gdansk,passive_c120,1515,18,50,4411,8714,1945,449,51,16,4,24,44.224345684051514,0
gdansk,passive_c120,1010,20,50,4606,9212,1947,728,47,17,7,24,45.44240045547485,0
gdansk,passive_c120,1111,16,50,4600,9053,2011,753,47,17,7,24,46.07984924316406,0
gdansk,passive_c120,1212,19,50,4866,9573,2113,1226,42,19,10,24,45.63365960121155,0
gdansk,passive_c120,1414,18,50,4782,9389,2136,866,42,19,10,24,45.819878339767456,0
gdansk,passive_c120,1313,17,50,4562,8992,1955,502,42,19,10,24,46.15785479545593,0
gdansk,passive_c120_probes,42,16,50,4988,9815,2298,1161,47,20,4,24,45.24354028701782,0
gdansk,passive_c120,1818,16,50,4707,9205,2119,1000,47,20,4,24,46.37074565887451,0
gdansk,passive_c120,1717,22,50,5329,10437,2473,1046,47,20,4,24,46.5600483417511,0
gdansk,passive_c120,1616,17,50,4843,9549,2158,781,47,20,4,24,46.630921363830566,0
gdansk,passive_c120,1919,14,50,4512,8816,2027,640,47,20,4,24,45.90421414375305,0
gdansk,passive_c120_probes,101,20,50,5059,9982,2307,969,43,20,8,24,45.79459619522095,0
gdansk,passive_c120_probes,202,21,50,4862,9641,2103,734,41,22,8,24,45.87403750419617,0
gdansk,passive_c120_probes,303,21,50,4716,9297,2092,701,38,29,4,24,46.15048146247864,0
gdansk,passive_c120_probes,404,21,50,5060,9943,2331,912,45,18,8,24,45.83177375793457,0
gdansk,passive_c120_probes,909,22,50,4868,9551,2216,593,45,18,8,24,44.06484889984131,0
gdansk,passive_c120_probes,505,19,50,5201,10082,2444,888,47,18,6,24,45.73040509223938,0
gdansk,passive_c120_probes,606,18,50,4842,9557,2094,928,47,18,6,24,45.70028352737427,0
gdansk,passive_c120_probes,1515,16,50,4474,8850,1902,573,47,18,6,24,43.9797420501709,0
gdansk,passive_c120_probes,707,13,50,4291,8573,1743,633,47,18,6,24,46.11577224731445,0
gdansk,passive_c120_probes,808,16,50,4711,9340,2041,735,38,26,7,24,45.911240100860596,0
gdansk,passive_c120_probes,1010,21,50,5080,10075,2217,1131,38,26,7,24,46.02124285697937,0
gdansk,passive_c120_probes,1313,23,50,4353,8650,1825,624,43,21,7,24,46.03258490562439,0
gdansk,passive_c120_probes,1414,17,50,4896,9670,2197,916,43,21,7,24,46.137529373168945,0
gdansk,passive_c120_probes,1212,17,50,5183,10126,2424,1073,43,21,7,24,46.44573974609375,0
gdansk,passive_c120_probes,1111,15,50,4866,9563,2199,927,43,21,7,24,46.629878997802734,0
gdansk,passive_c120_probes,1616,21,50,4846,9595,2107,919,39,23,9,24,45.47891402244568,0
gdansk,passive_c120_probes,1717,26,50,5293,10429,2353,1235,41,26,4,24,45.84726023674011,0
gdansk,passive_c40,42,18,50,4517,8917,1936,554,44,21,6,24,45.389408111572266,0
gdansk,passive_c120_probes,1919,18,50,4638,9051,2133,725,44,21,6,24,45.57416534423828,0
gdansk,passive_c120_probes,1818,17,50,4802,9379,2214,976,44,21,6,24,46.447142362594604,0
gdansk,passive_c40,404,12,50,3945,7790,1627,466,42,23,6,24,45.05392575263977,0
gdansk,passive_c40,303,14,50,4352,8578,1929,403,42,23,6,24,45.27422833442688,0
gdansk,passive_c40,101,14,50,4038,8079,1659,620,42,23,6,24,46.103989124298096,0
gdansk,passive_c40,909,16,50,3865,7750,1525,836,43,20,8,24,44.10789752006531,0
gdansk,passive_c40,202,14,50,4187,8278,1790,655,43,20,8,24,46.30343532562256,0
gdansk,passive_c40,505,15,50,4092,8158,1618,906,39,22,10,24,45.92012667655945,0
gdansk,passive_c40,606,12,50,3647,7281,1367,601,39,22,10,24,45.61768174171448,0
gdansk,passive_c40,707,13,50,3827,7640,1498,561,39,22,10,24,45.81037759780884,0
gdansk,passive_c40,808,12,50,3670,7340,1399,303,43,19,9,24,46.365939140319824,0
gdansk,passive_c40,1010,15,50,4211,8320,1775,354,43,18,10,24,45.58043551445007,0
gdansk,passive_c40,1515,22,50,4273,8554,1769,672,41,21,9,24,43.69081401824951,0
gdansk,passive_c40,1111,14,50,3871,7793,1493,735,41,21,9,24,45.76530480384827,0
gdansk,passive_c40,1212,17,50,4375,8655,1826,927,50,15,6,24,45.3763689994812,0
gdansk,passive_c40,1313,17,50,4495,8855,1965,750,50,15,6,24,46.44538903236389,0
gdansk,passive_c40,1414,10,50,3925,7775,1587,552,32,32,7,24,45.642667055130005,0
gdansk,passive_c40,1616,16,50,4223,8326,1821,501,32,32,7,24,46.21354937553406,0
gdansk,passive_c40,1717,17,50,4424,8750,1906,708,32,32,7,24,46.37089562416077,0
gdansk,passive_c40,1919,13,50,3941,7796,1601,651,47,19,5,24,45.924216508865356,0
gdansk,passive_c40,1818,11,50,3907,7726,1606,686,47,19,5,24,46.420456647872925,0
gdansk,passive_c40_probes,42,16,50,4800,9545,2047,1059,47,19,5,24,45.843502044677734,0
gdansk,passive_c40_probes,101,17,50,3968,7896,1579,753,40,22,9,24,45.635122776031494,0
gdansk,passive_c40_probes,202,14,50,4393,8757,1853,727,40,22,9,24,45.603623151779175,0
gdansk,passive_c40_probes,303,17,50,4357,8582,1873,560,47,20,4,24,45.73342299461365,0
gdansk,passive_c40_probes,404,9,50,3983,7850,1663,517,43,22,6,24,45.78238105773926,0
gdansk,passive_c40_probes,909,17,50,4298,8527,1802,896,49,18,4,24,43.98141431808472,0
gdansk,passive_c40_probes,606,10,50,3646,7311,1391,229,44,23,4,24,46.23302745819092,0
gdansk,passive_c40_probes,505,13,50,3972,7852,1611,531,44,23,4,24,46.96437406539917,0
gdansk,passive_c40_probes,808,10,50,3671,7443,1315,483,40,20,11,24,45.41851234436035,0
gdansk,passive_c40_probes,707,12,50,4056,8151,1572,563,44,23,4,24,46.52444124221802,0
gdansk,passive_c40_probes,1515,15,50,4358,8705,1797,648,44,19,8,24,43.911922454833984,0
gdansk,passive_c40_probes,1212,18,50,3828,7656,1463,502,44,19,8,24,45.9613835811615,0
gdansk,passive_c40_probes,1111,17,50,4152,8373,1598,888,44,18,9,24,46.00740146636963,0
gdansk,passive_c40_probes,1010,17,50,4458,8849,1847,795,44,19,8,24,46.5469810962677,0
gdansk,passive_c40_probes,1414,13,50,4110,8062,1789,643,44,18,9,24,45.651034355163574,0
gdansk,passive_c40_probes,1313,14,50,4418,8768,1893,586,44,18,9,24,46.161574602127075,0
gdansk,passive_c40_probes,1616,18,50,4367,8592,1846,524,43,21,7,24,45.65578770637512,0
