region,traffic,feature,seed,delivered,sent,radio_tx,radio_rx,collisions,ackpath_tx,events_drift,events_shadow,events_fade,n_mutable_links,wall_s,rc
gdansk,realistic,baseline,909,30,84,7403,14115,3928,531,39,22,10,24,44.0162627696991,0
gdansk,realistic,baseline,404,26,84,7800,15115,3995,736,44,23,4,24,44.802958250045776,0
gdansk,realistic,baseline,808,19,84,7090,13872,3452,794,43,18,10,24,45.14892649650574,0
gdansk,realistic,baseline,42,29,84,8022,15461,4152,912,44,23,4,24,45.25372362136841,0
gdansk,realistic,baseline,1212,31,84,8158,15733,4253,910,43,18,10,24,45.42122006416321,0
gdansk,realistic,baseline,202,27,84,8152,15696,4231,1003,43,18,10,24,45.47956681251526,0
gdansk,realistic,baseline,707,27,84,8196,15698,4331,675,43,18,10,24,45.520838260650635,0
gdansk,realistic,baseline,101,27,84,7505,14578,3746,973,43,18,10,24,45.74300146102905,0
gdansk,realistic,baseline,1010,31,84,8117,15694,4158,670,43,18,10,24,45.85591721534729,0
gdansk,realistic,baseline,303,26,84,7980,15293,4207,608,43,18,10,24,45.89250659942627,0
gdansk,realistic,baseline,606,28,84,8377,16013,4484,878,43,18,10,24,46.00689721107483,0
gdansk,realistic,baseline,1111,32,84,7554,14711,3786,935,43,18,10,24,46.10028338432312,0
gdansk,realistic,baseline,1313,24,84,7924,15254,4160,930,43,18,10,24,46.13907480239868,0
gdansk,realistic,baseline,505,29,84,7475,14544,3664,687,43,18,10,24,46.33047604560852,0
gdansk,realistic,baseline,1515,28,84,8143,15596,4266,663,41,27,3,24,43.54038763046265,0
gdansk,realistic,baseline,1414,32,84,8280,15938,4391,1016,45,21,5,24,45.64952754974365,0
gdansk,realistic,baseline,1717,30,84,7645,14751,3893,972,48,16,7,24,45.54346561431885,0
gdansk,realistic,baseline,1818,24,84,7795,15081,4048,833,48,16,7,24,45.60169959068298,0
gdansk,realistic,baseline,1919,27,84,7678,14929,3825,805,48,16,7,24,45.568333864212036,0
gdansk,realistic,passive_c120,42,31,84,8440,16263,4322,913,48,16,7,24,45.744908571243286,0
gdansk,realistic,passive_c120,101,30,84,8345,16005,4455,740,42,23,6,24,45.715359687805176,0
gdansk,realistic,passive_c120,404,29,84,8405,16264,4303,854,48,16,7,24,45.50961709022522,0
gdansk,realistic,baseline,1616,23,84,7913,15347,3995,811,48,16,7,24,46.44684648513794,0
gdansk,realistic,passive_c120,202,28,84,8039,15406,4235,711,42,23,6,24,45.800490856170654,0
gdansk,realistic,passive_c120,303,23,84,7728,14785,4025,390,42,23,6,24,45.89195013046265,0
gdansk,realistic,passive_c120,606,26,84,7969,15347,4137,1023,42,23,6,24,45.80321979522705,0
gdansk,realistic,passive_c120,505,28,84,8233,15899,4222,683,42,23,6,24,46.235424518585205,0
gdansk,realistic,passive_c120,707,25,84,8178,15744,4221,666,42,23,6,24,46.062262773513794,0
gdansk,realistic,passive_c120,909,31,84,8264,15807,4388,889,44,21,6,24,43.9961199760437,0
gdansk,realistic,passive_c120,808,27,84,7899,15137,4146,1013,44,21,6,24,45.98917627334595,0
gdansk,realistic,passive_c120,1515,29,84,7864,15069,4058,549,43,21,7,24,44.40148663520813,0
gdansk,realistic,passive_c120,1212,27,84,8091,15564,4151,903,43,23,5,24,45.388394355773926,0
gdansk,realistic,passive_c120,1010,32,84,8369,16061,4453,1017,43,23,5,24,46.03576421737671,0
gdansk,realistic,passive_c120,1111,26,84,8501,16345,4476,1057,43,23,5,24,45.95425319671631,0
gdansk,realistic,passive_c120,1414,27,84,8015,15650,4005,1420,43,23,5,24,45.632697343826294,0
gdansk,realistic,passive_c120,1313,29,84,8149,15643,4277,805,42,19,10,24,46.045751333236694,0
gdansk,realistic,passive_c120_probes,42,25,84,7896,15392,3919,830,42,19,10,24,44.98686933517456,0
gdansk,realistic,passive_c120,1616,33,84,7934,15505,3857,941,43,23,5,24,45.74229860305786,0
gdansk,realistic,passive_c120,1717,25,84,7690,14982,3805,989,42,19,10,24,46.12337255477905,0
gdansk,realistic,passive_c120,1818,25,84,7996,15464,4063,798,42,19,10,24,46.24782991409302,0
gdansk,realistic,passive_c120,1919,24,84,7952,15369,4104,587,42,19,10,24,46.127625942230225,0
gdansk,realistic,passive_c120_probes,101,26,84,8307,15918,4446,835,42,19,10,24,46.13574481010437,0
gdansk,realistic,passive_c120_probes,202,28,84,7739,15016,3915,1080,38,26,7,24,45.81441330909729,0
gdansk,realistic,passive_c120_probes,303,27,84,8243,15882,4292,971,38,26,7,24,45.94268989562988,0
gdansk,realistic,passive_c120_probes,404,27,84,8456,16297,4401,1027,42,26,3,24,45.20599889755249,0
gdansk,realistic,passive_c120_probes,909,24,84,7578,14641,3824,909,45,19,7,24,43.95991086959839,0
gdansk,realistic,passive_c120_probes,1515,24,84,7858,15264,3935,813,45,19,7,24,43.828784465789795,0
gdansk,realistic,passive_c120_probes,505,31,84,8583,16517,4455,893,45,19,7,24,46.028486490249634,0
gdansk,realistic,passive_c120_probes,1111,29,84,8094,15565,4189,848,39,27,5,24,45.77807307243347,0
gdansk,realistic,passive_c120_probes,808,34,84,7807,15279,3876,831,39,27,5,24,46.08511281013489,0
gdansk,realistic,passive_c120_probes,1010,27,84,8331,16067,4290,777,39,27,5,24,46.04575181007385,0
