region,feature,seed,delivered,sent,alice_flood,alice_direct,radio_tx,radio_rx,collisions,ackpath_tx,total_flood_tx,total_direct_tx,probes_fired,wall_s,rc
gdansk,passive_c120,42,19,50,23,2,5077,9817,2456,825,14684,2143,0,43.03130865097046,0
gdansk,baseline,42,19,50,23,2,5077,9817,2456,825,14684,2143,0,43.08180069923401,0
gdansk,baseline,404,19,50,21,4,5068,9934,2332,739,14702,2134,0,43.14537739753723,0
gdansk,passive_c120,101,20,50,23,2,4914,9598,2262,867,14557,2140,0,43.22608184814453,0
gdansk,passive_c120,404,19,50,24,1,5178,10089,2431,758,14820,2126,0,43.25577402114868,0
gdansk,baseline,101,19,50,21,4,4917,9585,2275,968,14555,2146,0,43.26007342338562,0
gdansk,probes_on,42,14,50,23,2,4736,9414,2001,576,14346,2138,8,43.3834662437439,0
gdansk,probes_on,101,20,50,17,8,4912,9638,2258,877,14496,2190,8,43.42118048667908,0
gdansk,baseline,303,19,50,16,9,4500,8852,2045,733,14171,2235,0,43.50468993186951,0
gdansk,passive_c120,303,20,50,18,7,4664,9137,2169,804,14342,2226,0,43.553744316101074,0
gdansk,baseline,202,21,50,16,9,5014,9799,2327,1037,14730,2187,0,43.75947093963623,0
gdansk,passive_c120,202,21,50,18,7,5075,9846,2418,943,14804,2173,0,44.23207187652588,0
gdansk,probes_c120,42,14,50,23,2,4736,9414,2001,576,14346,2138,8,42.76692819595337,0
gdansk,probes_on,404,20,50,22,3,5164,10090,2409,746,14785,2138,8,42.93421292304993,0
gdansk,probes_c120,404,20,50,22,3,5164,10090,2409,746,14785,2138,8,42.90197467803955,0
gdansk,probes_c120,101,20,50,17,8,4912,9638,2258,877,14496,2190,8,43.46787667274475,0
gdansk,probes_c120,202,16,50,16,9,4783,9451,2148,936,14467,2216,8,43.55703067779541,0
gdansk,probes_c120,303,20,50,17,8,4687,9207,2148,899,14346,2237,8,43.481234550476074,0
gdansk,probes_on,202,16,50,16,9,4783,9451,2148,936,14467,2216,8,43.986716747283936,0
gdansk,probes_on,303,20,50,17,8,4687,9207,2148,899,14346,2237,8,44.098763942718506,0
seapdx,baseline,42,25,50,24,1,33250,77620,27730,3103,531810,28384,0,587.1073276996613,0
seapdx,baseline,303,27,50,22,3,32068,75314,26193,3089,528888,28402,0,586.7572560310364,0
seapdx,baseline,101,25,50,15,10,31592,74270,25524,2413,529991,28350,0,587.511634349823,0
seapdx,baseline,202,24,50,23,2,35632,82366,30599,3151,537136,28387,0,590.6579177379608,0
seapdx,passive_c120,303,27,50,23,2,32068,75314,26193,3089,528888,28402,0,584.5278780460358,0
seapdx,baseline,404,20,50,25,0,33782,78289,28614,1854,529972,28347,0,586.26908826828,0
seapdx,passive_c120,404,20,50,25,0,33782,78289,28614,1854,529972,28347,0,586.7830531597137,0
seapdx,passive_c120,101,26,50,16,9,31552,74134,25551,1796,529951,28350,0,588.2811253070831,0
seapdx,passive_c120,42,25,50,24,1,33250,77620,27730,3103,531810,28384,0,588.646409034729,0
seapdx,probes_on,42,25,50,17,8,32740,77063,26617,4310,531286,28389,8,589.3053870201111,0
seapdx,passive_c120,202,24,50,23,2,35632,82366,30599,3151,537136,28387,0,589.7280430793762,0
seapdx,probes_on,101,23,50,23,2,32748,76647,26869,2506,531142,28349,8,592.5827922821045,0
manh,baseline,42,20,50,13,12,8931,17644,3616,1375,46065,4950,0,96.29258275032043,0
manh,baseline,101,18,50,18,7,9387,18570,3827,952,46581,4864,0,96.37069988250732,0
manh,baseline,202,18,50,16,9,8791,17347,3517,1397,46127,4939,0,96.40795493125916,0
manh,baseline,303,17,50,21,4,9184,18103,3743,1770,46769,4878,0,97.4306070804596,0
manh,baseline,404,19,50,24,1,9891,19415,4316,1235,47303,4866,0,97.55338311195374,0
manh,passive_c120,42,20,50,13,12,8931,17644,3616,1375,46065,4950,0,96.5373809337616,0
manh,passive_c120,101,18,50,18,7,9387,18570,3827,952,46581,4864,0,96.76840043067932,0
manh,passive_c120,202,19,50,18,7,9147,18019,3715,1455,46515,4905,0,97.82130575180054,0
manh,passive_c120,303,17,50,21,4,9184,18103,3743,1770,46769,4878,0,97.71113705635071,0
manh,passive_c120,404,19,50,24,1,9891,19415,4316,1235,47303,4866,0,97.81576609611511,0
manh,probes_on,42,17,50,20,5,9118,17991,3751,1507,46279,4917,8,97.6710798740387,0
