topology,workload,advert,feature,seed,delivered,sent,alice_flood,alice_direct,radio_tx,radio_rx,collisions,ackpath_tx,total_flood_tx,total_direct_tx,probes_fired,wall_s,rc
chain_6,light,medium,passive,404,1,1,0,1,61,127,12,5,26,25,0,0.9172112941741943,0
chain_6,light,medium,baseline,303,1,1,1,0,66,133,20,7,30,25,0,0.9224269390106201,0
chain_6,light,medium,passive_mp2,202,1,1,0,1,63,122,22,5,27,25,0,0.9250178337097168,0
chain_6,light,medium,baseline,42,1,1,1,0,63,126,18,8,27,25,0,1.332103967666626,0
chain_6,light,medium,baseline,404,1,1,1,0,65,133,15,7,29,25,0,1.3255486488342285,0
chain_6,light,medium,passive_mp2,101,1,1,0,1,71,154,9,5,35,25,0,1.3366847038269043,0
chain_6,light,medium,baseline,202,1,1,1,0,60,115,22,1,27,23,0,1.3571093082427979,0
chain_6,light,medium,baseline,101,1,1,1,0,72,151,14,6,38,23,0,1.3725166320800781,0
chain_6,light,medium,passive,202,1,1,0,1,62,121,22,5,27,25,0,1.3709282875061035,0
chain_6,light,medium,passive,101,1,1,0,1,70,153,9,5,35,25,0,1.3824131488800049,0
chain_6,light,medium,passive_mp2,303,1,1,0,1,63,128,17,4,27,25,0,1.386366605758667,0
chain_6,light,medium,passive,303,1,1,0,1,62,127,17,4,27,25,0,1.3879444599151611,0
chain_6,light,medium,passive,42,1,1,0,1,59,120,15,5,24,25,0,1.3896305561065674,0
chain_6,light,medium,passive_mp2,42,1,1,0,1,60,121,15,5,24,25,0,1.42598557472229,0
chain_6,light,medium,passive_mp2,404,1,1,0,1,62,128,12,5,26,25,0,0.9265847206115723,0
chain_6,light,medium,passive_mp3,42,1,1,0,1,61,122,15,5,24,25,0,0.9253458976745605,0
chain_6,light,medium,passive_mp3,101,1,1,0,1,72,155,9,5,35,25,0,0.946075439453125,0
chain_6,light,medium,passive_mp4,101,1,1,0,1,73,156,9,5,35,25,0,0.9366681575775146,0
chain_6,light,medium,passive_mp3,303,1,1,0,1,64,129,17,4,27,25,0,1.004791259765625,0
chain_6,light,medium,passive_c120,202,1,1,1,0,60,115,22,1,27,23,0,1.1375608444213867,0
chain_6,light,medium,passive_mp4,404,1,1,0,1,64,130,12,5,26,25,0,1.1992852687835693,0
chain_6,light,medium,passive_mp3,202,1,1,0,1,64,125,20,5,27,25,0,1.3223292827606201,0
chain_6,light,medium,passive_mp4,303,1,1,0,1,65,130,17,4,27,25,0,1.3334927558898926,0
chain_6,light,medium,passive_mp4,42,1,1,0,1,62,121,17,5,24,25,0,1.3712756633758545,0
