topology,workload,advert,feature,seed,delivered,sent,alice_flood,alice_direct,radio_tx,radio_rx,collisions,ackpath_tx,total_flood_tx,total_direct_tx,probes_fired,wall_s,rc
chain_6,medium,medium,p2_c40_mp2,202,6,6,0,6,110,222,23,27,49,35,0,0.918602466583252,0
chain_6,medium,medium,p2_c40,101,6,6,0,6,104,219,17,28,49,35,0,0.9444835186004639,0
chain_6,medium,medium,baseline,101,6,6,1,5,100,218,13,22,34,45,0,1.0189554691314697,0
chain_6,medium,medium,p2_c40_h2,42,6,6,0,6,102,206,29,26,43,38,1,1.2296602725982666,0
chain_6,medium,medium,p2_c120_mp2,101,6,6,4,2,113,231,24,29,51,37,0,1.229827880859375,0
chain_6,medium,medium,p2_c40_mp2,101,6,6,0,6,111,232,14,29,50,35,0,1.334097146987915,0
chain_6,medium,medium,p2_c120,202,6,6,4,2,113,232,24,28,55,35,0,1.3536524772644043,0
chain_6,medium,medium,p2_c120_mp2,42,6,6,3,3,101,189,36,30,38,37,0,1.3546311855316162,0
chain_6,medium,medium,p2_c40_mp2,42,6,6,0,6,98,188,27,27,37,35,0,1.3570077419281006,0
chain_6,medium,medium,p2_c120,42,6,6,4,2,94,176,33,23,41,31,0,1.356173038482666,0
chain_6,medium,medium,p2_c40_mp3,202,6,6,0,6,114,216,31,25,47,35,0,1.3571007251739502,0
chain_6,medium,medium,p2_c40_penalty_off,202,6,6,3,3,111,221,35,31,49,39,0,1.3572187423706055,0
chain_6,medium,medium,p2_c120_mp3,101,6,6,4,2,113,223,28,27,51,35,0,1.3611371517181396,0
chain_6,medium,medium,baseline,42,6,6,1,5,94,180,32,28,40,33,0,1.3683109283447266,0
chain_6,medium,medium,baseline,202,6,6,1,5,101,217,17,22,35,45,0,1.371433973312378,0
chain_6,medium,medium,p2_c40_penalty_off,101,6,6,3,3,112,233,22,32,52,37,0,1.3717691898345947,0
chain_6,medium,medium,p2_c40_mp3,42,6,6,0,6,103,191,28,26,36,35,0,1.3772339820861816,0
chain_6,medium,medium,p2_c40_penalty_off,42,6,6,3,3,99,190,36,31,37,39,0,1.3793084621429443,0
chain_6,medium,medium,p2_c40_h2,101,6,6,0,6,109,230,19,29,49,38,2,1.3807241916656494,0
chain_6,medium,medium,p2_c40_h2,202,6,6,0,6,99,198,30,26,40,38,1,1.381140947341919,0
chain_6,medium,medium,p2_c120_mp3,202,6,6,4,2,111,222,25,22,50,35,0,1.3832404613494873,0
chain_6,medium,medium,p2_c40,42,6,6,0,6,91,178,29,26,36,35,0,1.3861331939697266,0
chain_6,medium,medium,p2_c40,202,6,6,0,6,105,221,20,28,50,35,0,1.385915994644165,0
chain_6,medium,medium,p2_c120_mp3,42,6,6,3,3,103,189,35,29,39,35,0,1.3864548206329346,0
chain_6,medium,medium,p2_c120_mp2,202,6,6,4,2,114,229,27,27,54,35,0,1.3885819911956787,0
chain_6,medium,medium,p2_c120,101,6,6,4,2,110,224,27,28,50,37,0,1.3894307613372803,0
chain_6,medium,medium,p2_c40_mp3,101,6,6,0,6,114,223,23,26,47,35,0,1.3950810432434082,0
chain_6,medium,medium,p2_c120_h2,42,6,6,4,2,105,209,30,23,44,38,1,1.4041171073913574,0
chain_6,medium,medium,p2_etl_60,202,6,6,4,2,113,232,24,28,55,35,0,0.9585180282592773,0
chain_6,medium,medium,p2_c120_h2,101,6,6,4,2,114,229,29,28,51,38,2,1.2881355285644531,0
chain_6,medium,medium,p2_etl_60,42,6,6,4,2,94,176,33,23,41,31,0,1.215153455734253,0
chain_6,medium,medium,p2_c120_h2,202,6,6,4,2,102,195,35,22,45,34,1,1.3156721591949463,0
chain_6,medium,medium,p2_etl_86400,101,6,6,4,2,110,224,27,28,50,37,0,0.9816923141479492,0
chain_6,medium,frequent,p2_c40_h2,42,6,6,0,6,130,253,41,27,63,38,1,0.9931409358978271,0
chain_6,medium,frequent,p2_c40_mp2,101,6,6,0,6,145,285,37,28,76,35,0,1.0466959476470947,0
chain_6,medium,medium,p2_etl_1800,42,6,6,4,2,94,176,33,23,41,31,0,1.2762470245361328,0
chain_6,medium,frequent,p2_c40,202,6,6,0,6,125,234,47,26,62,35,0,1.2384765148162842,0
