topology,workload,advert,feature,seed,delivered,sent,alice_flood,alice_direct,radio_tx,radio_rx,collisions,ackpath_tx,total_flood_tx,total_direct_tx,probes_fired,wall_s,rc
chain_6,medium,medium,baseline,101,6,6,1,5,100,218,13,22,34,45,0,0.911942720413208,0
chain_6,medium,medium,baseline,909,6,6,2,4,88,173,29,20,26,41,0,0.9091544151306152,0
chain_6,medium,medium,baseline,303,6,6,2,4,92,184,28,20,30,41,0,0.9342889785766602,0
chain_6,medium,medium,p2_c120,303,6,6,4,2,102,196,36,27,44,35,0,1.2609031200408936,0
chain_6,medium,medium,baseline,202,6,6,1,5,101,217,17,22,35,45,0,1.334604024887085,0
chain_6,medium,medium,baseline,1111,6,6,1,5,94,198,20,22,28,45,0,1.3426814079284668,0
chain_6,medium,medium,baseline,1010,6,6,1,5,97,193,26,29,42,34,0,1.347259521484375,0
chain_6,medium,medium,baseline,1818,6,6,2,4,102,197,34,24,49,32,0,1.3424158096313477,0
chain_6,medium,medium,baseline,606,6,6,1,5,93,174,36,28,39,33,0,1.3532633781433105,0
chain_6,medium,medium,baseline,808,6,6,1,5,94,200,17,23,27,46,0,1.3520679473876953,0
chain_6,medium,medium,baseline,1212,6,6,2,4,92,185,26,20,29,42,0,1.3578345775604248,0
chain_6,medium,medium,baseline,1717,5,6,1,5,89,185,18,19,28,41,0,1.3581488132476807,0
chain_6,medium,medium,baseline,404,6,6,1,5,95,203,15,22,29,45,0,1.369234323501587,0
chain_6,medium,medium,baseline,1313,6,6,2,4,101,189,38,26,50,30,0,1.3710052967071533,0
chain_6,medium,medium,p2_c120,202,6,6,4,2,113,232,24,28,55,35,0,1.343949794769287,0
chain_6,medium,medium,baseline,1616,5,6,1,5,90,185,22,20,29,41,0,1.3766131401062012,0
chain_6,medium,medium,baseline,1515,6,6,1,5,93,192,23,22,26,46,0,1.377260684967041,0
chain_6,medium,medium,baseline,707,6,6,1,5,95,200,20,22,28,46,0,1.3812315464019775,0
chain_6,medium,medium,p2_c120,42,6,6,4,2,94,176,33,23,41,31,0,1.3490915298461914,0
chain_6,medium,medium,baseline,42,6,6,1,5,94,180,32,28,40,33,0,1.3980515003204346,0
chain_6,medium,medium,baseline,1414,6,6,1,5,96,196,26,21,30,45,0,1.3932690620422363,0
chain_6,medium,medium,p2_c120,606,6,6,4,2,94,175,34,24,41,31,0,1.3746016025543213,0
chain_6,medium,medium,p2_c120,404,6,6,4,2,105,211,25,28,47,35,0,1.376847267150879,0
chain_6,medium,medium,baseline,1919,5,6,1,5,94,194,20,19,31,42,0,1.395319938659668,0
chain_6,medium,medium,p2_c120,505,6,6,4,2,93,167,39,22,45,26,0,1.39701247215271,0
chain_6,medium,medium,p2_c120,101,6,6,4,2,110,224,27,28,50,37,0,1.4064528942108154,0
chain_6,medium,medium,p2_c120,707,6,6,5,1,96,186,29,15,45,30,0,1.403177261352539,0
chain_6,medium,medium,baseline,505,6,6,2,4,92,173,34,24,41,30,0,1.4597642421722412,0
chain_6,medium,medium,p2_c120,808,6,6,3,3,103,201,34,30,40,40,0,1.1475844383239746,0
chain_6,medium,medium,p2_c120,909,6,6,4,2,98,180,44,28,38,37,0,1.1726915836334229,0
chain_6,medium,medium,p2_c120,1010,6,6,3,3,101,193,34,31,44,34,0,1.192613124847412,0
chain_6,medium,medium,p2_c120,1515,6,6,4,2,99,188,37,24,41,36,0,1.0392341613769531,0
chain_6,medium,medium,p2_c120_mp2,1515,6,6,4,2,100,187,38,23,40,36,0,0.9604246616363525,0
chain_6,medium,medium,p2_c120,1717,5,6,4,2,100,195,30,26,45,33,0,1.2363033294677734,0
chain_6,medium,medium,p2_c120_mp2,101,6,6,4,2,113,231,24,29,51,37,0,1.2547595500946045,0
chain_6,medium,medium,p2_c120,1111,6,6,4,2,98,192,29,21,43,33,0,1.3617651462554932,0
chain_6,medium,medium,p2_c120,1212,6,6,4,2,102,195,38,28,41,38,0,1.3321506977081299,0
chain_6,medium,medium,p2_c120,1313,6,6,4,2,106,197,42,29,51,32,0,1.3738665580749512,0
chain_6,medium,medium,p2_c120_mp2,42,6,6,3,3,101,189,36,30,38,37,0,1.3676676750183105,0
chain_6,medium,medium,p2_c120,1616,5,6,4,2,100,195,34,28,42,36,0,1.3835582733154297,0
chain_6,medium,medium,p2_c120_mp2,808,6,6,3,3,107,213,29,31,39,42,0,1.3425633907318115,0
chain_6,medium,medium,p2_c120,1818,6,6,5,1,102,189,39,19,52,28,0,1.3793895244598389,0
chain_6,medium,medium,p2_c120,1414,6,6,3,3,107,210,35,29,44,40,0,1.3963191509246826,0
chain_6,medium,medium,p2_c120,1919,5,6,4,2,98,192,27,20,43,33,0,1.3822290897369385,0
chain_6,medium,medium,p2_c120_mp2,202,6,6,4,2,114,229,27,27,54,35,0,1.3743669986724854,0
chain_6,medium,medium,p2_c120_mp2,1010,6,6,4,2,98,185,31,23,42,32,0,1.3529138565063477,0
chain_6,medium,medium,p2_c120_mp2,303,6,6,4,2,108,216,28,30,46,37,0,1.3858380317687988,0
chain_6,medium,medium,p2_c120_mp2,1212,6,6,4,2,104,197,38,28,41,38,0,1.3385488986968994,0
chain_6,medium,medium,p2_c120_mp2,606,6,6,4,2,96,177,34,24,41,31,0,1.3957493305206299,0
chain_6,medium,medium,p2_c120_mp2,707,6,6,5,1,97,186,30,15,45,30,0,1.3889610767364502,0
chain_6,medium,medium,p2_c120_mp2,404,6,6,4,2,107,209,31,28,45,37,0,1.4071276187896729,0
chain_6,medium,medium,p2_c120_mp2,505,6,6,5,1,95,173,36,21,46,26,0,1.4253747463226318,0
chain_6,medium,medium,p2_c120_mp2,909,6,6,4,2,100,182,44,28,38,37,0,1.4042561054229736,0
chain_6,medium,medium,p2_c120_mp2,1111,6,6,4,2,100,194,29,21,43,33,0,1.407163381576538,0
chain_6,medium,medium,p2_c120_mp2,1313,6,6,5,1,94,167,38,12,48,24,0,1.392465591430664,0
chain_6,medium,medium,p2_c120_mp2,1414,6,6,3,3,112,221,32,30,45,41,0,1.41402268409729,0
chain_6,medium,medium,p2_c120_mp2,1717,5,6,4,2,102,196,31,26,45,33,0,1.1713566780090332,0
chain_6,medium,medium,p2_c120_mp2,1818,6,6,5,1,103,190,39,19,52,28,0,1.2386364936828613,0
chain_6,medium,medium,p2_c120_mp2,1616,5,6,4,2,103,202,31,29,43,36,0,1.4155616760253906,0
chain_6,medium,medium,p2_c120_mp2,1919,5,6,4,2,100,194,27,20,43,33,0,1.2566730976104736,0
chain_6,medium,medium,p2_c120_mp3,42,6,6,3,3,103,189,35,29,39,35,0,1.369429111480713,0
chain_6,medium,medium,p2_c120_mp3,202,6,6,4,2,111,222,25,22,50,35,0,1.2207002639770508,0
chain_6,medium,medium,p2_c120_mp3,1818,6,6,5,1,104,189,41,19,52,28,0,1.0900843143463135,0
chain_6,medium,medium,p2_c120_mp3,1010,6,6,4,2,107,208,27,30,46,34,0,1.1349589824676514,0
chain_6,medium,medium,p2_c120_mp3,404,6,6,4,2,104,203,26,22,43,35,0,1.3252875804901123,0
chain_6,medium,medium,p2_c120_mp3,101,6,6,4,2,113,223,28,27,51,35,0,1.4088618755340576,0
chain_6,medium,medium,p2_c120_mp3,1111,6,6,4,2,102,196,29,21,43,33,0,1.2713632583618164,0
chain_6,medium,medium,p2_c120_mp3,303,6,6,4,2,109,213,31,29,45,37,0,1.3696718215942383,0
chain_6,medium,medium,p2_c120_h2,101,6,6,4,2,114,229,29,28,51,38,2,1.2005257606506348,0
chain_6,medium,medium,p2_c120_mp3,909,6,6,4,2,98,178,39,23,37,35,0,1.3326447010040283,0
chain_6,medium,medium,p2_c120_mp3,1919,5,6,4,2,104,204,25,22,43,35,0,1.2873101234436035,0
chain_6,medium,medium,p2_c120_mp3,606,6,6,4,2,103,187,39,30,43,33,0,1.3590214252471924,0
chain_6,medium,medium,p2_c120_mp3,505,6,6,4,2,98,174,38,23,46,26,0,1.387810230255127,0
chain_6,medium,medium,p2_c120_mp3,1414,6,6,3,3,115,223,33,30,45,41,0,1.3432233333587646,0
chain_6,medium,medium,p2_c120_mp3,707,6,6,5,1,98,187,30,15,45,30,0,1.3853819370269775,0
chain_6,medium,medium,p2_c120_mp3,1313,6,6,5,1,95,168,38,12,48,24,0,1.3669674396514893,0
chain_6,medium,medium,p2_c120_mp3,808,6,6,4,2,107,203,34,28,44,36,0,1.4158194065093994,0
chain_6,medium,medium,p2_c120_mp3,1212,6,6,4,2,106,199,38,28,41,38,0,1.4039053916931152,0
chain_6,medium,medium,p2_c120_mp3,1515,6,6,4,2,103,191,38,24,41,36,0,1.388984203338623,0
chain_6,medium,medium,p2_c120_mp3,1717,5,6,4,2,103,193,34,25,44,33,0,1.3926138877868652,0
chain_6,medium,medium,p2_c120_h2,42,6,6,4,2,105,209,30,23,44,38,1,1.412820816040039,0
chain_6,medium,medium,p2_c120_mp3,1616,5,6,4,2,105,204,31,29,43,36,0,1.4530901908874512,0
chain_6,medium,medium,p2_c120_h2,202,6,6,4,2,102,195,35,22,45,34,1,1.3993010520935059,0
chain_6,medium,medium,p2_c120_h2,303,6,6,4,2,105,196,43,29,45,36,1,1.4181828498840332,0
chain_6,medium,medium,p2_c120_h2,505,6,6,3,3,115,229,34,32,45,44,3,1.0849816799163818,0
chain_6,medium,medium,p2_c120_h2,404,6,6,4,2,107,210,32,30,41,41,2,1.383364200592041,0
chain_6,medium,medium,p2_c120_h2,606,6,6,4,2,102,196,36,29,38,40,1,1.340137004852295,0
chain_6,medium,medium,p2_c120_h2,1010,6,6,4,2,108,218,25,30,47,37,1,1.076324224472046,0
chain_6,medium,medium,p2_c120_h2,707,6,6,3,3,107,212,32,31,42,41,1,1.4116895198822021,0
chain_6,medium,medium,p2_c40,42,6,6,0,6,91,178,29,26,36,35,0,0.9540901184082031,0
chain_6,medium,medium,p2_c120_h2,808,6,6,3,3,104,203,36,31,35,45,1,1.3817636966705322,0
chain_6,medium,medium,p2_c120_h2,909,6,6,4,2,104,200,38,29,40,40,1,1.3776185512542725,0
chain_6,medium,medium,p2_c120_h2,1616,5,6,4,2,104,199,38,21,42,38,3,1.2090933322906494,0
chain_6,medium,medium,p2_c120_h2,1111,6,6,4,2,108,209,34,30,52,32,1,1.3993291854858398,0
chain_6,medium,medium,p2_c40,202,6,6,0,6,105,221,20,28,50,35,0,1.1859204769134521,0
chain_6,medium,medium,p2_c120_h2,1717,5,6,3,3,105,209,30,26,44,38,1,1.235938549041748,0
chain_6,medium,medium,p2_c120_h2,1313,6,6,4,2,106,201,38,26,47,35,1,1.3408691883087158,0
chain_6,medium,medium,p2_c120_h2,1212,6,6,4,2,114,225,33,30,52,38,1,1.3901405334472656,0
chain_6,medium,medium,p2_c120_h2,1515,6,6,4,2,103,199,33,23,45,35,1,1.3711509704589844,0
chain_6,medium,medium,p2_c40,606,6,6,0,6,91,176,31,27,36,35,0,1.2460715770721436,0
chain_6,medium,medium,p2_c120_h2,1414,6,6,4,2,106,208,32,27,43,39,1,1.4548060894012451,0
chain_6,medium,medium,p2_c40,101,6,6,0,6,104,219,17,28,49,35,0,1.390185832977295,0
chain_6,medium,medium,p2_c120_h2,1818,6,6,5,1,107,207,35,20,49,35,1,1.4116370677947998,0
chain_6,medium,medium,p2_c120_h2,1919,5,6,4,2,104,204,30,20,45,36,1,1.4235825538635254,0
chain_6,medium,medium,p2_c40,404,6,6,0,6,99,206,19,28,44,35,0,1.3673267364501953,0
chain_6,medium,medium,p2_c40,303,6,6,0,6,92,180,31,22,37,35,0,1.409846305847168,0
chain_6,medium,medium,p2_c40,707,6,6,0,6,98,198,27,27,42,36,0,1.379650592803955,0
chain_6,medium,medium,p2_c40,808,6,6,0,6,96,193,27,26,40,36,0,1.3486366271972656,0
chain_6,medium,medium,p2_c40,505,6,6,0,6,94,192,22,29,40,34,0,1.4227046966552734,0
chain_6,medium,medium,p2_c40,909,5,6,0,6,88,172,29,24,35,34,0,1.3799364566802979,0
chain_6,medium,medium,p2_c40,1010,6,6,0,6,96,200,18,29,40,36,0,1.3803236484527588,0
chain_6,medium,medium,p2_c40,1111,6,6,0,6,98,202,23,27,43,35,0,1.3880634307861328,0
chain_6,medium,medium,p2_c40,1212,6,6,0,6,96,193,27,27,40,36,0,1.2909448146820068,0
chain_6,medium,medium,p2_c40,1313,6,6,0,6,100,201,27,28,46,34,0,1.383237361907959,0
chain_6,medium,medium,p2_c40,1515,6,6,0,6,93,181,32,23,37,36,0,1.2262942790985107,0
chain_6,medium,medium,p2_c40,1414,6,6,0,6,102,209,25,28,46,36,0,1.3996927738189697,0
chain_6,medium,medium,p2_c40,1717,5,6,0,6,92,190,18,24,40,33,0,1.382293462753296,0
chain_6,medium,medium,p2_c40_penalty_off,42,6,6,3,3,99,190,36,31,37,39,0,1.205207109451294,0
chain_6,medium,medium,p2_c40,1616,5,6,0,6,91,177,31,22,39,33,0,1.397733211517334,0
